Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,144.4498,-64.273007,180,bottom
C2,100nF,C_0603_1608Metric,150.930501,-61.670634,270,bottom
C3,100nF,C_0603_1608Metric,140.380501,-52.593505,90,bottom
C4,100nF,C_0603_1608Metric,149.733,-49.973007,0,bottom
C5,100nF,C_0603_1608Metric,152.680501,-59.654708,270,bottom
C6,100nF,C_0603_1608Metric,144.446754,-62.523007,180,bottom
C7,10uF,C_0603_1608Metric,138.480501,-52.593504,90,bottom
C8,20pF,C_0603_1608Metric,152.246527,-68.008722,270,bottom
C9,20pF,C_0603_1608Metric,143.846528,-68.008722,270,bottom
C10,1uF,C_0603_1608Metric,143.8847,-31.430233,270,bottom
C11,1uF,C_0603_1608Metric,137.803099,-31.430235,90,bottom
C12,4.7nF,C_0603_1608Metric,157.988,5.969,270,bottom
C13,100nF,C_0603_1608Metric,141.47292,-66.56324,270,bottom
D1,BAV70,SOT-23,11.521544,-6.312514,270,bottom
D2,BAV70,SOT-23,7.305143,-25.837511,270,bottom
D3,BAV70,SOT-23,3.304646,-44.887496,270,bottom
D4,BAV70,SOT-23,36.197643,-27.977494,270,bottom
D5,BAV70,SOT-23,36.769144,-47.0275,270,bottom
D6,BAV70,SOT-23,42.07775,-66.077499,270,bottom
D7,BAV70,SOT-23,82.732579,-85.752154,258,bottom
D8,BAV70,SOT-23,51.595004,-8.927504,270,bottom
D9,BAV70,SOT-23,75.835652,-29.229538,258,bottom
D10,BAV70,SOT-23,76.535657,-48.859542,258,bottom
D11,BAV70,SOT-23,81.885607,-69.469751,258,bottom
D12,BAV70,SOT-23,89.115651,-12.579538,258,bottom
D13,BAV70,SOT-23,113.103653,-37.151544,258,bottom
D14,BAV70,SOT-23,113.803614,-56.781747,258,bottom
D15,BAV70,SOT-23,100.519898,-73.431035,258,bottom
D16,BAV70,SOT-23,123.016264,-94.314712,258,bottom
D17,BAV70,SOT-23,126.38375,-20.501122,258,bottom
D18,BAV70,SOT-23,175.99701,-18.52161,282,bottom
D19,BAV70,SOT-23,170.637054,-39.131822,282,bottom
D20,BAV70,SOT-23,179.25739,-56.781747,282,bottom
D21,BAV70,SOT-23,173.897053,-77.391822,282,bottom
D22,BAV70,SOT-23,213.265012,-10.599616,282,bottom
D23,BAV70,SOT-23,207.905051,-31.209821,282,bottom
D24,BAV70,SOT-23,216.525056,-48.859828,282,bottom
D25,BAV70,SOT-23,211.165057,-69.469827,282,bottom
D26,BAV70,SOT-23,204.312397,-87.396706,282,bottom
D27,BAV70,SOT-23,250.775996,-6.787502,270,bottom
D28,BAV70,SOT-23,245.465691,-26.917506,270,bottom
D29,BAV70,SOT-23,254.455998,-47.027501,270,bottom
D30,BAV70,SOT-23,249.128005,-66.077499,270,bottom
D31,BAV70,SOT-23,269.595686,-8.927502,270,bottom
D32,BAV70,SOT-23,264.465998,-27.977506,270,bottom
D33,BAV70,SOT-23,273.506002,-47.027506,270,bottom
D34,BAV70,SOT-23,268.146,-66.077502,270,bottom
D35,BAV70,SOT-23,234.826406,-85.452623,282,bottom
F1,500mA,Fuse_1206_3216Metric,154.559998,-1.777999,90,bottom
I1,470,R_0603_1608Metric,-5.190003,-83.419998,90,bottom
I2,470,R_0603_1608Metric,-6.990004,-83.420002,90,bottom
I3,470,R_0603_1608Metric,-8.789997,-83.419995,90,bottom
Q1,2N7002,SOT-23,146.530247,-82.117631,270,bottom
R1,1.5k,R_0603_1608Metric,149.097999,-47.973006,180,bottom
R2,1M,R_0603_1608Metric,159.698002,5.968998,270,bottom
R3,10k,R_0603_1608Metric,157.353,-56.8706,0,bottom
R4,470,R_0603_1608Metric,5.525001,-5.525007,270,bottom
R5,470,R_0603_1608Metric,1.364999,-25.050007,270,bottom
R6,470,R_0603_1608Metric,-2.704997,-44.100006,270,bottom
R7,470,R_0603_1608Metric,28.545,-8.140009,270,bottom
R8,470,R_0603_1608Metric,29.144996,-27.190002,270,bottom
R9,470,R_0603_1608Metric,27.457001,-46.240009,270,bottom
R10,470,R_0603_1608Metric,28.054999,-65.290003,270,bottom
R11,470,R_0603_1608Metric,20.915,-84.340004,270,bottom
R12,470,R_0603_1608Metric,47.595,-8.140003,270,bottom
R13,470,R_0603_1608Metric,52.955001,-27.189999,270,bottom
